,CERRILLOS,INDEPENDENCIA,CONDES,ELBOSQUE,PARQUE,TALAGANTE,QUILICURA,PUDAHUEL,CERRONAVIA,LAFLORIDA,PUENTEALTO
CERRILLOS,0,0.07622,0.16863,0.0588,0.04766,0.22337,0.10867,0.0511,0.05106,0.09407,0.12043
INDEPENDENCIA,0.07167,0,0.09171,0.09909,0.03372,0.28115,0.07804,0.06644,0.05405,0.08538,0.13876
CONDES,0.09659,0.05587,0,0.10006,0.06943,0.22405,0.0906,0.0958,0.08819,0.07222,0.10719
ELBOSQUE,0.05172,0.09269,0.15364,0,0.06133,0.19993,0.14317,0.09592,0.09352,0.05305,0.05502
PARQUE,0.04994,0.03758,0.12701,0.07307,0,0.28301,0.10787,0.06971,0.05916,0.07054,0.12212
TALAGANTE,0.08112,0.1086,0.14205,0.08255,0.09809,0,0.10748,0.08862,0.09252,0.10443,0.09454
QUILICURA,0.07669,0.05857,0.11163,0.11487,0.07265,0.20886,0,0.04268,0.04066,0.11949,0.15388
PUDAHUEL,0.04719,0.06525,0.15444,0.10071,0.06144,0.22534,0.05584,0,0.01227,0.12143,0.15608
CERRONAVIA,0.04918,0.05537,0.14829,0.10241,0.05438,0.24537,0.0555,0.0128,0,0.11842,0.15827
LAFLORIDA,0.07757,0.07487,0.10396,0.04973,0.05551,0.23709,0.13961,0.10842,0.10137,0,0.05189
PUENTEALTO,0.07982,0.09781,0.12402,0.04145,0.07724,0.17253,0.14451,0.11202,0.1089,0.04171,0
